评论,时间,点赞数
这几天都准备写本有点压抑的小说，谢谢这首歌，我最近都没有什么灵感，这首歌来的正好。,2021-01-23 08:06:13,138
您不解释一下“开了守护就是我的人了，把你以前的什么亚瑟通通忘掉”这是什么意思吗？不怕英厨冲过来把你端了？,2021-07-16 01:40:44,109
在？头像？？？宁也是亚瑟殖民地？？？,2021-07-10 23:21:58,120
呜呜呜呜泪目了家人们，仏仏他天天和亚瑟吵架，踢球还输了，整个欧洲都排挤他，他只能背井离乡，哥哥也不挽留，来到老朋友家，怕老朋友知道了笑他，只能整容整声带，还有装骚受，唱黄歌，苦练中文呜呜呜呜，太感动太励志了,2021-07-14 23:41:26,107
我想升级，所以给我点个赞吧[委屈][委屈],2021-02-10 14:08:10,201
我把骂它的评论都赞了一遍，老铁们我做的对吗[呲牙],2021-07-14 11:24:59,111
亚瑟有这么多明珠，你是哪个[微笑],2021-07-14 10:52:54,119
这个事情闹大了两边都不好看，况且也不是什么大事，赶紧道个歉这件事也就平了，都成年人了，也该为自己的行为负责了吧？这也是对喜欢“亚瑟·柯克兰”和“黑塔利亚”这个动漫的人群的尊重，更是对你的粉丝的负责。现在道歉，都不算晚,2021-07-14 09:14:51,96
艾辰：写尽千山，落笔是你。望尽星辰，梦里是你。三分月色，七分是你。书尽泛黄，扉页是你。繁华落尽，枕畔是你。行尽万水，尽头是你。千山万水，归处是你。铁马是你，冰河也是你。 你是往日的情书是日落的余情未了是路人脚下不停生长的风也是我喜欢的人艾辰，往后余生都是你,2021-01-22 18:07:46,177
班级作业来的[捂眼],2021-01-22 18:15:16,123
好船组头像用的很爽是吧，踹养老院很爽是吧，真因为养老院没人是吧，什么垃圾也来碰瓷养老院,2021-07-14 10:24:29,89
换头像，已经不是一次两次了，那么大个up不能自己约稿吗？笑死了,2021-07-10 17:43:11,87
艾辰16年就喜欢的一位歌手，全民第一个关注的那时候我才10岁hhh笙歌家族我也加过当时我还在九群呢，记得现场在歌房听过艾辰唱歌。渐渐的长大了笙歌好像因为一件事变了不叫笙歌了，艾辰我一直关注，桃花凉，落，东坡等我都很喜欢呀，希望艾辰越来越好，永远爱你。最后辰风破浪，为艾远航[打call],2021-02-04 22:22:58,122
虽然已经说过一次了但似没引起你注意女真当黑塔利亚没人是吗怎么什么都敢碰瓷也是艾辰几年的粉丝了希望针对这件事能赶紧道个歉不要把事情闹大了对双方粉丝也能有个交代我自己本身就是双厨最近几年黑塔利亚经常被踹门（懂得都懂）抛开别的光是描图当头像就不对吧或者说如果有版权的话就表明出来也不会有误会包括就是既然已经做出了决定就要承担相应的后果这种事不仅对自身不利而且粉丝会怎么想总而言之就是别描图别碰瓷谢谢别把别人的东西当自己的,2021-07-19 18:02:03,78
亲爱的，解释解释头像问题呗！[鼓掌],2021-07-10 09:32:15,87
我以为艾辰糊了，没想到是我来早了[doge],2021-01-23 11:51:11,94
用酷狗的哭了，没版权了[大哭]只能在B站循环了[大哭],2021-01-24 10:53:58,108
艾辰的原头像是黑塔利亚人物:亚瑟·柯克兰，加上了自己的元素，很多人希望艾辰换个头像，可他头像没有换并且说话很难听，因为态度恶劣并且占着我们喜欢的人物描图所以我们来冲艾辰，希望头脑清醒的姐妹理智脱粉，有些不明所以的姐妹可以代入自己非常喜欢的角色被人描图做头像，不但不换头像且态度十分恶劣，我相信你如果不是找不愉快就应该理智脱粉，离这种晦气的人远一些。希望大家都能理智，清醒，如果这条被删掉，我还是会发，直到艾辰道歉为止！谢谢大家看完这段话。（转）,2021-07-14 18:13:08,74
